Date,Close
10/5/2020 16:00:00,49.38
10/6/2020 16:00:00,48.94
10/7/2020 16:00:00,49.56
10/8/2020 16:00:00,50.46
10/9/2020 16:00:00,50.81
10/12/2020 16:00:00,51.09
10/13/2020 16:00:00,50.22
10/14/2020 16:00:00,50.12
10/15/2020 16:00:00,49.99
10/16/2020 16:00:00,50.03
10/19/2020 16:00:00,49.62
10/20/2020 16:00:00,50.25
10/21/2020 16:00:00,49.99
10/22/2020 16:00:00,50.68
10/23/2020 16:00:00,50.52
10/26/2020 16:00:00,49.8
10/27/2020 16:00:00,49.9
10/28/2020 16:00:00,47.96
10/29/2020 16:00:00,48.02
10/30/2020 16:00:00,48.06
11/2/2020 16:00:00,48.62
11/3/2020 16:00:00,49.35
11/4/2020 16:00:00,49.17
11/5/2020 16:00:00,49.44
11/6/2020 16:00:00,49.45
11/9/2020 16:00:00,52.57
11/10/2020 16:00:00,53.98
11/11/2020 16:00:00,53.58
11/12/2020 16:00:00,53.01
11/13/2020 16:00:00,53.45
11/16/2020 16:00:00,53.85
11/17/2020 16:00:00,53.68
11/18/2020 16:00:00,52.61
11/19/2020 16:00:00,53.13
11/20/2020 16:00:00,52.67
11/23/2020 16:00:00,52.68
11/24/2020 16:00:00,53.22
11/25/2020 16:00:00,52.93
11/27/2020 13:00:00,52.7
11/30/2020 16:00:00,51.6
12/1/2020 16:00:00,52.04
12/2/2020 16:00:00,52.11
12/3/2020 16:00:00,52.78
12/4/2020 16:00:00,53.85
12/7/2020 16:00:00,52.99
12/8/2020 16:00:00,53.18
12/9/2020 16:00:00,53.33
12/10/2020 16:00:00,53.05
12/11/2020 16:00:00,53.35
12/14/2020 16:00:00,53.27
12/15/2020 16:00:00,53.84
12/16/2020 16:00:00,53.06
12/17/2020 16:00:00,53.27
12/18/2020 16:00:00,53.74
12/21/2020 16:00:00,52.81
12/22/2020 16:00:00,52.76
12/23/2020 16:00:00,53.08
12/24/2020 13:00:00,53.44
12/28/2020 16:00:00,54.16
12/29/2020 16:00:00,54.13
12/30/2020 16:00:00,54.44
12/31/2020 16:00:00,54.84
1/4/2021 16:00:00,52.76
1/5/2021 16:00:00,52.18
1/6/2021 16:00:00,50.52
1/7/2021 16:00:00,49.96
1/8/2021 16:00:00,51.08
1/11/2021 16:00:00,50.2
1/12/2021 16:00:00,50.11
1/13/2021 16:00:00,50.16
1/14/2021 16:00:00,49.23
1/15/2021 16:00:00,48.7
1/19/2021 16:00:00,48.51
1/20/2021 16:00:00,48.68
1/21/2021 16:00:00,48.95
1/22/2021 16:00:00,48.49
1/25/2021 16:00:00,48.78
1/26/2021 16:00:00,49.29
1/27/2021 16:00:00,48.53
1/28/2021 16:00:00,49.15
1/29/2021 16:00:00,48.15
2/1/2021 16:00:00,48.48
2/2/2021 16:00:00,48.96
2/3/2021 16:00:00,48.77
2/4/2021 16:00:00,49.01
2/5/2021 16:00:00,49.65
2/8/2021 16:00:00,49.92
2/9/2021 16:00:00,49.7
2/10/2021 16:00:00,49.6
2/11/2021 16:00:00,50.3
2/12/2021 16:00:00,50.69
2/16/2021 16:00:00,50.27
2/17/2021 16:00:00,50.13
2/18/2021 16:00:00,50.77
2/19/2021 16:00:00,50.11
2/22/2021 16:00:00,50.63
2/23/2021 16:00:00,50.54
2/24/2021 16:00:00,50.71
2/25/2021 16:00:00,50.17
2/26/2021 16:00:00,48.99
3/1/2021 16:00:00,49.9
3/2/2021 16:00:00,50.1
3/3/2021 16:00:00,49.98
3/4/2021 16:00:00,49.94
3/5/2021 16:00:00,50.79
3/8/2021 16:00:00,51.64
3/9/2021 16:00:00,50.86
3/10/2021 16:00:00,51.44
3/11/2021 16:00:00,50.88
3/12/2021 16:00:00,50.36
3/15/2021 16:00:00,51.03
3/16/2021 16:00:00,51.22
3/17/2021 16:00:00,51.24
3/18/2021 16:00:00,50.57
3/19/2021 16:00:00,50.81
3/22/2021 16:00:00,51
3/23/2021 16:00:00,51.39
3/24/2021 16:00:00,51.52
3/25/2021 16:00:00,52.02
3/26/2021 16:00:00,53.04
3/29/2021 16:00:00,53.85
3/30/2021 16:00:00,53.15
3/31/2021 16:00:00,52.71
4/1/2021 16:00:00,52.51
4/5/2021 16:00:00,52.81
4/6/2021 16:00:00,53.19
4/7/2021 16:00:00,53.28
4/8/2021 16:00:00,53.12
4/9/2021 16:00:00,53.18
4/12/2021 16:00:00,53.35
4/13/2021 16:00:00,53.09
4/14/2021 16:00:00,53.08
4/15/2021 16:00:00,53.33
4/16/2021 16:00:00,53.68
4/19/2021 16:00:00,54
4/20/2021 16:00:00,54.17
4/21/2021 16:00:00,54.61
4/22/2021 16:00:00,54.44
4/23/2021 16:00:00,54.47
4/26/2021 16:00:00,53.66
4/27/2021 16:00:00,53.58
4/28/2021 16:00:00,53.59
4/29/2021 16:00:00,54.26
4/30/2021 16:00:00,53.98
5/3/2021 16:00:00,54.48
5/4/2021 16:00:00,54.14
5/5/2021 16:00:00,54
5/6/2021 16:00:00,54.54
5/7/2021 16:00:00,54.51
5/10/2021 16:00:00,54.91
5/11/2021 16:00:00,54.32
5/12/2021 16:00:00,54.04
5/13/2021 16:00:00,54.51
5/14/2021 16:00:00,54.73
5/17/2021 16:00:00,54.64
5/18/2021 16:00:00,54.34
5/19/2021 16:00:00,54.17
5/20/2021 16:00:00,54.65
5/21/2021 16:00:00,54.62
5/24/2021 16:00:00,54.8
5/25/2021 16:00:00,54.79
5/26/2021 16:00:00,55.03
5/27/2021 16:00:00,55.49
5/28/2021 16:00:00,55.29
6/1/2021 16:00:00,55.28
6/2/2021 16:00:00,55.5
6/3/2021 16:00:00,55.64
6/4/2021 16:00:00,56.24
6/7/2021 16:00:00,56.04
6/8/2021 16:00:00,55.65
6/9/2021 16:00:00,55.48
6/10/2021 16:00:00,55.91
6/11/2021 16:00:00,56.16
6/14/2021 16:00:00,55.55
6/15/2021 16:00:00,55.41
6/16/2021 16:00:00,54.67
6/17/2021 16:00:00,54.95
6/18/2021 16:00:00,53.77
6/21/2021 16:00:00,54.36
6/22/2021 16:00:00,54.56
6/23/2021 16:00:00,54.12
6/24/2021 16:00:00,54.39
6/25/2021 16:00:00,54.32
6/28/2021 16:00:00,54.26
6/29/2021 16:00:00,53.86
6/30/2021 16:00:00,54.11
7/1/2021 16:00:00,53.96
7/2/2021 16:00:00,54.18
7/6/2021 16:00:00,53.88
7/7/2021 16:00:00,54.32
7/8/2021 16:00:00,54.13
7/9/2021 16:00:00,54.46
7/12/2021 16:00:00,54.48
7/13/2021 16:00:00,55.02
7/14/2021 16:00:00,56.26
7/15/2021 16:00:00,56.44
7/16/2021 16:00:00,56.4
7/19/2021 16:00:00,55.73
7/20/2021 16:00:00,55.83
7/21/2021 16:00:00,56.55
7/22/2021 16:00:00,56.47
7/23/2021 16:00:00,57.01
7/26/2021 16:00:00,57.06
7/27/2021 16:00:00,57.26
7/28/2021 16:00:00,56.74
7/29/2021 16:00:00,57.05
7/30/2021 16:00:00,57.03
8/2/2021 16:00:00,56.88
8/3/2021 16:00:00,56.92
8/4/2021 16:00:00,56.1
8/5/2021 16:00:00,56.5
8/6/2021 16:00:00,56.64
8/9/2021 16:00:00,56.65
8/10/2021 16:00:00,56.8
8/11/2021 16:00:00,56.73
8/12/2021 16:00:00,56.84
8/13/2021 16:00:00,57.23
8/16/2021 16:00:00,57.48
8/17/2021 16:00:00,57.28
8/18/2021 16:00:00,56.5
8/19/2021 16:00:00,56.86
8/20/2021 16:00:00,56.64
8/23/2021 16:00:00,56.44
8/24/2021 16:00:00,56.01
8/25/2021 16:00:00,56.07
8/26/2021 16:00:00,55.54
8/27/2021 16:00:00,55.65
8/30/2021 16:00:00,56.18
8/31/2021 16:00:00,56.31
9/1/2021 16:00:00,56.69
9/2/2021 16:00:00,56.77
9/3/2021 16:00:00,56.73
9/7/2021 16:00:00,55.67
9/8/2021 16:00:00,56.42
9/9/2021 16:00:00,55.86
9/10/2021 16:00:00,55.61
9/13/2021 16:00:00,56.07
9/14/2021 16:00:00,55.69
9/15/2021 16:00:00,55.88
9/16/2021 16:00:00,55.35
9/17/2021 16:00:00,54.44
9/20/2021 16:00:00,54.06
9/21/2021 16:00:00,54.05
9/22/2021 16:00:00,54.13
9/23/2021 16:00:00,54.04
9/24/2021 16:00:00,53.89
9/27/2021 16:00:00,53.61
9/28/2021 16:00:00,52.64
9/29/2021 16:00:00,52.96
9/30/2021 16:00:00,52.47
10/1/2021 16:00:00,53.02
