Date,Close
10/5/2020 16:00:00,127.91
10/6/2020 16:00:00,127.65
10/7/2020 16:00:00,130.06
10/8/2020 16:00:00,129.71
10/9/2020 16:00:00,130.98
10/12/2020 16:00:00,129.46
10/13/2020 16:00:00,129.2
10/14/2020 16:00:00,127.66
10/15/2020 16:00:00,129
10/16/2020 16:00:00,128
10/19/2020 16:00:00,127.43
10/20/2020 16:00:00,128.49
10/21/2020 16:00:00,129.43
10/22/2020 16:00:00,130.02
10/23/2020 16:00:00,129.99
10/26/2020 16:00:00,128.37
10/27/2020 16:00:00,127.99
10/28/2020 16:00:00,122.08
10/29/2020 16:00:00,122.86
10/30/2020 16:00:00,120.08
11/2/2020 16:00:00,122.39
11/3/2020 16:00:00,124.59
11/4/2020 16:00:00,127.34
11/5/2020 16:00:00,129.7
11/6/2020 16:00:00,128.9
11/9/2020 16:00:00,128.95
11/10/2020 16:00:00,127.71
11/11/2020 16:00:00,127.66
11/12/2020 16:00:00,126.64
11/13/2020 16:00:00,128.28
11/16/2020 16:00:00,130.11
11/17/2020 16:00:00,132.21
11/18/2020 16:00:00,131.63
11/19/2020 16:00:00,131.91
11/20/2020 16:00:00,132.98
11/23/2020 16:00:00,134.13
11/24/2020 16:00:00,134.7
11/25/2020 16:00:00,135.54
11/27/2020 13:00:00,134.25
11/30/2020 16:00:00,134.7
12/1/2020 16:00:00,135.44
12/2/2020 16:00:00,135.58
12/3/2020 16:00:00,136.96
12/4/2020 16:00:00,137.19
12/7/2020 16:00:00,138.75
12/8/2020 16:00:00,139.12
12/9/2020 16:00:00,138.79
12/10/2020 16:00:00,137.58
12/11/2020 16:00:00,137.41
12/14/2020 16:00:00,136.28
12/15/2020 16:00:00,139.39
12/16/2020 16:00:00,138.34
12/17/2020 16:00:00,140.5
12/18/2020 16:00:00,137.28
12/21/2020 16:00:00,144.02
12/22/2020 16:00:00,142.45
12/23/2020 16:00:00,141.76
12/24/2020 13:00:00,141.6
12/28/2020 16:00:00,142.43
12/29/2020 16:00:00,141.57
12/30/2020 16:00:00,141.58
12/31/2020 16:00:00,141.47
1/4/2021 16:00:00,140.1
1/5/2021 16:00:00,141.23
1/6/2021 16:00:00,142.35
1/7/2021 16:00:00,144.95
1/8/2021 16:00:00,146.35
1/11/2021 16:00:00,147.05
1/12/2021 16:00:00,145.05
1/13/2021 16:00:00,143.04
1/14/2021 16:00:00,141.3
1/15/2021 16:00:00,140.72
1/19/2021 16:00:00,139.27
1/20/2021 16:00:00,142.8
1/21/2021 16:00:00,141.61
1/22/2021 16:00:00,139.35
1/25/2021 16:00:00,137.55
1/26/2021 16:00:00,135.1
1/27/2021 16:00:00,131.02
1/28/2021 16:00:00,134.72
1/29/2021 16:00:00,133.59
2/1/2021 16:00:00,135.71
2/2/2021 16:00:00,139.59
2/3/2021 16:00:00,138.63
2/4/2021 16:00:00,140.63
2/5/2021 16:00:00,145.11
2/8/2021 16:00:00,143.41
2/9/2021 16:00:00,141.79
2/10/2021 16:00:00,142.46
2/11/2021 16:00:00,143.54
2/12/2021 16:00:00,142.12
2/16/2021 16:00:00,141.71
2/17/2021 16:00:00,143.99
2/18/2021 16:00:00,145.09
2/19/2021 16:00:00,142.02
2/22/2021 16:00:00,136.67
2/23/2021 16:00:00,136.13
2/24/2021 16:00:00,135.65
2/25/2021 16:00:00,135.54
2/26/2021 16:00:00,134.78
3/1/2021 16:00:00,137.65
3/2/2021 16:00:00,137.02
3/3/2021 16:00:00,134.26
3/4/2021 16:00:00,132.04
3/5/2021 16:00:00,133.35
3/8/2021 16:00:00,134.56
3/9/2021 16:00:00,135.95
3/10/2021 16:00:00,137.59
3/11/2021 16:00:00,141.19
3/12/2021 16:00:00,140.45
3/15/2021 16:00:00,144.94
3/16/2021 16:00:00,144.65
3/17/2021 16:00:00,144.82
3/18/2021 16:00:00,143.17
3/19/2021 16:00:00,137.49
3/22/2021 16:00:00,138.27
3/23/2021 16:00:00,137.12
3/24/2021 16:00:00,133.16
3/25/2021 16:00:00,128.64
3/26/2021 16:00:00,132.99
3/29/2021 16:00:00,133.49
3/30/2021 16:00:00,132.95
3/31/2021 16:00:00,132.89
4/1/2021 16:00:00,132.53
4/5/2021 16:00:00,135.12
4/6/2021 16:00:00,137.16
4/7/2021 16:00:00,136.54
4/8/2021 16:00:00,133.68
4/9/2021 16:00:00,135.45
4/12/2021 16:00:00,136.64
4/13/2021 16:00:00,133.54
4/14/2021 16:00:00,132.26
4/15/2021 16:00:00,133.67
4/16/2021 16:00:00,134.31
4/19/2021 16:00:00,132.57
4/20/2021 16:00:00,127.11
4/21/2021 16:00:00,129.9
4/22/2021 16:00:00,129.18
4/23/2021 16:00:00,130.19
4/26/2021 16:00:00,131.6
4/27/2021 16:00:00,132.11
4/28/2021 16:00:00,130.71
4/29/2021 16:00:00,133.26
4/30/2021 16:00:00,132.62
5/3/2021 16:00:00,133.03
5/4/2021 16:00:00,131.55
5/5/2021 16:00:00,132.21
5/6/2021 16:00:00,133.49
5/7/2021 16:00:00,137.81
5/10/2021 16:00:00,136.4
5/11/2021 16:00:00,137.12
